Time (sec),Status,% of Drowsiness,Alert
4,Both eyes closed,18,Driver Awake
4,Both eyes closed,19,Driver Awake
4,Both eyes closed,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,20,Driver Awake
4,Both eyes open,19,Driver Awake
4,Both eyes open,19,Driver Awake
4,Both eyes open,19,Driver Awake
4,"Left eye closed, right eye open",19,Driver Awake
4,Both eyes open,19,Driver Awake
4,Both eyes open,19,Driver Awake
4,Both eyes open,19,Driver Awake
4,"Left eye closed, right eye open",18,Driver Awake
5,"Left eye closed, right eye open",18,Driver Awake
5,"Left eye closed, right eye open",18,Driver Awake
5,Both eyes closed,19,Driver Awake
5,Both eyes closed,20,Driver Awake
5,"Left eye closed, right eye open",20,Driver Awake
5,"Left eye closed, right eye open",20,Driver Awake
5,"Left eye closed, right eye open",20,Driver Awake
5,Both eyes open,20,Driver Awake
5,Both eyes closed,21,Driver Awake
5,Both eyes open,21,Driver Awake
5,"Left eye closed, right eye open",20,Driver Awake
5,Both eyes closed,20,Driver Awake
5,Both eyes open,20,Driver Awake
5,Both eyes closed,21,Driver Awake
5,Both eyes open,21,Driver Awake
5,Both eyes open,20,Driver Awake
5,Both eyes open,20,Driver Awake
5,Both eyes open,20,Driver Awake
5,Both eyes open,20,Driver Awake
5,Both eyes open,19,Driver Awake
5,Both eyes open,18,Driver Awake
5,Both eyes open,17,Driver Awake
5,Both eyes open,16,Driver Awake
5,Both eyes open,15,Driver Awake
5,Both eyes open,14,Driver Awake
5,Both eyes closed,14,Driver Awake
5,Both eyes closed,15,Driver Awake
5,Both eyes closed,16,Driver Awake
5,Both eyes closed,17,Driver Awake
5,Both eyes closed,18,Driver Awake
6,Both eyes closed,19,Driver Awake
6,"Left eye closed, right eye open",19,Driver Awake
6,Both eyes open,19,Driver Awake
6,"Left eye closed, right eye open",19,Driver Awake
6,Both eyes open,19,Driver Awake
6,Both eyes open,19,Driver Awake
6,Both eyes open,19,Driver Awake
6,Both eyes open,19,Driver Awake
6,Both eyes open,19,Driver Awake
6,Both eyes open,19,Driver Awake
6,Both eyes closed,20,Driver Awake
6,"Left eye open, right eye closed",20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes closed,20,Driver Awake
6,Both eyes closed,21,Driver Awake
6,Both eyes open,20,Driver Awake
6,Both eyes closed,21,Driver Awake
7,Both eyes closed,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,"Left eye open, right eye closed",21,Driver Awake
7,Both eyes open,21,Driver Awake
7,Both eyes open,21,Driver Awake
7,Both eyes open,21,Driver Awake
7,Both eyes open,21,Driver Awake
7,Both eyes open,21,Driver Awake
7,"Left eye open, right eye closed",21,Driver Awake
7,Both eyes closed,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,Both eyes open,22,Driver Awake
7,"Left eye open, right eye closed",21,Driver Awake
7,Both eyes open,20,Driver Awake
7,Both eyes open,19,Driver Awake
7,Both eyes open,18,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
7,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,17,Driver Awake
8,Both eyes open,16,Driver Awake
8,Both eyes open,15,Driver Awake
8,Both eyes open,15,Driver Awake
8,Both eyes open,15,Driver Awake
8,Both eyes open,15,Driver Awake
8,Both eyes open,15,Driver Awake
8,Both eyes open,14,Driver Awake
8,Both eyes open,14,Driver Awake
8,Both eyes open,14,Driver Awake
8,Both eyes open,13,Driver Awake
8,Both eyes open,13,Driver Awake
8,Both eyes open,12,Driver Awake
8,Both eyes open,12,Driver Awake
8,"Left eye open, right eye closed",12,Driver Awake
8,Both eyes closed,13,Driver Awake
8,Both eyes closed,14,Driver Awake
8,Both eyes closed,15,Driver Awake
8,Both eyes closed,16,Driver Awake
9,Both eyes closed,17,Driver Awake
9,Both eyes closed,18,Driver Awake
9,Both eyes open,18,Driver Awake
9,Both eyes open,18,Driver Awake
9,Both eyes open,18,Driver Awake
9,Both eyes open,17,Driver Awake
9,Both eyes open,16,Driver Awake
9,Both eyes open,15,Driver Awake
9,Both eyes open,14,Driver Awake
9,Both eyes open,13,Driver Awake
9,Both eyes open,12,Driver Awake
9,Both eyes open,12,Driver Awake
9,Both eyes open,12,Driver Awake
9,Both eyes open,12,Driver Awake
9,Both eyes open,12,Driver Awake
9,Both eyes open,12,Driver Awake
9,Both eyes open,12,Driver Awake
9,Both eyes open,12,Driver Awake
9,Both eyes open,12,Driver Awake
9,Both eyes open,12,Driver Awake
9,Both eyes open,11,Driver Awake
9,Both eyes open,11,Driver Awake
9,Both eyes open,11,Driver Awake
9,Both eyes open,11,Driver Awake
9,Both eyes open,11,Driver Awake
9,Both eyes open,11,Driver Awake
9,Both eyes open,11,Driver Awake
9,Both eyes open,11,Driver Awake
9,Both eyes open,11,Driver Awake
9,Both eyes open,11,Driver Awake
10,Both eyes open,11,Driver Awake
10,Both eyes closed,12,Driver Awake
10,Both eyes closed,13,Driver Awake
10,Both eyes open,13,Driver Awake
10,Both eyes closed,14,Driver Awake
10,Both eyes open,14,Driver Awake
10,Both eyes open,13,Driver Awake
10,"Left eye open, right eye closed",12,Driver Awake
10,Both eyes open,12,Driver Awake
10,Both eyes open,11,Driver Awake
10,Both eyes open,10,Driver Awake
10,Both eyes open,10,Driver Awake
10,Both eyes open,10,Driver Awake
10,Both eyes open,10,Driver Awake
10,Both eyes open,10,Driver Awake
10,Both eyes open,10,Driver Awake
10,Both eyes open,10,Driver Awake
10,Both eyes open,10,Driver Awake
10,Both eyes open,10,Driver Awake
10,"Left eye open, right eye closed",9,Driver Awake
10,Both eyes open,9,Driver Awake
10,Both eyes open,9,Driver Awake
10,Both eyes open,9,Driver Awake
10,Both eyes open,9,Driver Awake
10,Both eyes open,9,Driver Awake
10,Both eyes open,9,Driver Awake
10,Both eyes open,9,Driver Awake
10,Both eyes open,9,Driver Awake
10,Both eyes open,9,Driver Awake
10,Both eyes open,9,Driver Awake
11,Both eyes closed,10,Driver Awake
11,Both eyes closed,11,Driver Awake
11,Both eyes closed,12,Driver Awake
11,Both eyes closed,13,Driver Awake
11,Both eyes closed,14,Driver Awake
11,"Left eye open, right eye closed",14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes open,14,Driver Awake
11,Both eyes closed,15,Driver Awake
11,Both eyes open,15,Driver Awake
11,"Left eye open, right eye closed",15,Driver Awake
11,Both eyes closed,16,Driver Awake
12,Both eyes closed,17,Driver Awake
12,Both eyes closed,18,Driver Awake
12,Both eyes closed,19,Driver Awake
12,Both eyes closed,20,Driver Awake
12,Both eyes open,20,Driver Awake
12,Both eyes closed,21,Driver Awake
12,"Left eye closed, right eye open",20,Driver Awake
12,"Left eye closed, right eye open",19,Driver Awake
12,"Left eye open, right eye closed",18,Driver Awake
12,Both eyes open,17,Driver Awake
12,Both eyes closed,17,Driver Awake
12,Both eyes closed,17,Driver Awake
12,Both eyes closed,18,Driver Awake
12,Both eyes closed,19,Driver Awake
12,"Left eye open, right eye closed",19,Driver Awake
12,Both eyes closed,20,Driver Awake
12,"Left eye open, right eye closed",20,Driver Awake
12,Both eyes open,20,Driver Awake
12,Both eyes closed,21,Driver Awake
12,"Left eye closed, right eye open",21,Driver Awake
12,"Left eye closed, right eye open",21,Driver Awake
12,"Left eye closed, right eye open",21,Driver Awake
12,"Left eye closed, right eye open",21,Driver Awake
12,"Left eye closed, right eye open",21,Driver Awake
12,Both eyes open,21,Driver Awake
12,"Left eye closed, right eye open",21,Driver Awake
12,"Left eye closed, right eye open",21,Driver Awake
12,Both eyes open,21,Driver Awake
12,Both eyes open,21,Driver Awake
12,Both eyes open,21,Driver Awake
13,Both eyes open,21,Driver Awake
13,Both eyes open,21,Driver Awake
13,Both eyes closed,22,Driver Awake
13,Both eyes closed,23,Driver Awake
13,Both eyes closed,24,Driver Awake
13,Both eyes closed,25,Driver Awake
13,Both eyes open,25,Driver Awake
13,Both eyes open,25,Driver Awake
13,Both eyes closed,26,Driver Awake
13,"Left eye open, right eye closed",26,Driver Awake
13,Both eyes open,26,Driver Awake
13,"Left eye open, right eye closed",25,Driver Awake
13,Both eyes open,24,Driver Awake
13,Both eyes open,24,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
13,"Left eye open, right eye closed",23,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
13,Both eyes open,23,Driver Awake
14,Both eyes closed,24,Driver Awake
14,Both eyes closed,25,Driver Awake
14,Both eyes closed,26,Driver Awake
14,Both eyes closed,27,Driver Awake
14,Both eyes closed,28,Driver Awake
14,Both eyes open,28,Driver Awake
14,"Left eye open, right eye closed",28,Driver Awake
14,Both eyes open,28,Driver Awake
14,Both eyes open,28,Driver Awake
14,Both eyes open,28,Driver Awake
14,Both eyes open,27,Driver Awake
14,Both eyes open,26,Driver Awake
14,Both eyes open,25,Driver Awake
14,Both eyes open,24,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
14,Both eyes open,23,Driver Awake
15,Both eyes open,23,Driver Awake
15,Both eyes open,23,Driver Awake
15,Both eyes open,23,Driver Awake
15,Both eyes open,23,Driver Awake
15,"Left eye open, right eye closed",23,Driver Awake
15,Both eyes open,23,Driver Awake
15,Both eyes open,22,Driver Awake
15,Both eyes open,22,Driver Awake
15,Both eyes open,22,Driver Awake
15,Both eyes open,21,Driver Awake
15,Both eyes open,20,Driver Awake
15,Both eyes open,19,Driver Awake
15,"Left eye open, right eye closed",18,Driver Awake
15,Both eyes open,17,Driver Awake
15,"Left eye open, right eye closed",17,Driver Awake
15,Both eyes open,16,Driver Awake
15,Both eyes open,16,Driver Awake
15,Both eyes open,16,Driver Awake
15,Both eyes open,16,Driver Awake
15,Both eyes open,16,Driver Awake
15,Both eyes open,15,Driver Awake
15,Both eyes open,14,Driver Awake
15,Both eyes open,13,Driver Awake
15,Both eyes open,12,Driver Awake
15,Both eyes open,12,Driver Awake
15,Both eyes open,11,Driver Awake
15,Both eyes open,11,Driver Awake
15,Both eyes open,11,Driver Awake
15,Both eyes open,10,Driver Awake
15,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes closed,11,Driver Awake
16,Both eyes closed,12,Driver Awake
16,Both eyes closed,13,Driver Awake
16,Both eyes closed,14,Driver Awake
16,Both eyes closed,15,Driver Awake
16,"Left eye open, right eye closed",15,Driver Awake
16,Both eyes open,15,Driver Awake
16,Both eyes open,15,Driver Awake
16,Both eyes open,15,Driver Awake
16,Both eyes open,14,Driver Awake
16,Both eyes open,13,Driver Awake
16,Both eyes open,12,Driver Awake
16,Both eyes open,11,Driver Awake
16,Both eyes open,11,Driver Awake
16,Both eyes open,11,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
16,Both eyes open,10,Driver Awake
17,Both eyes open,10,Driver Awake
17,"Left eye open, right eye closed",10,Driver Awake
17,Both eyes open,10,Driver Awake
17,Both eyes open,10,Driver Awake
17,"Left eye open, right eye closed",10,Driver Awake
17,Both eyes open,10,Driver Awake
17,"Left eye open, right eye closed",10,Driver Awake
17,Both eyes closed,11,Driver Awake
17,Both eyes closed,12,Driver Awake
17,Both eyes closed,13,Driver Awake
17,Both eyes closed,13,Driver Awake
17,Both eyes closed,13,Driver Awake
17,Both eyes closed,13,Driver Awake
17,Both eyes closed,13,Driver Awake
17,"Left eye open, right eye closed",12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
17,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
18,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,12,Driver Awake
19,Both eyes open,11,Driver Awake
19,Both eyes open,10,Driver Awake
19,Both eyes open,9,Driver Awake
19,Both eyes open,8,Driver Awake
19,Both eyes open,7,Driver Awake
19,Both eyes open,7,Driver Awake
19,Both eyes open,7,Driver Awake
19,Both eyes open,7,Driver Awake
19,Both eyes open,7,Driver Awake
19,Both eyes open,7,Driver Awake
19,Both eyes open,7,Driver Awake
19,Both eyes open,7,Driver Awake
19,Both eyes open,7,Driver Awake
19,Both eyes open,7,Driver Awake
19,Both eyes open,7,Driver Awake
19,Both eyes open,7,Driver Awake
19,Both eyes open,7,Driver Awake
20,Both eyes open,7,Driver Awake
20,"Left eye open, right eye closed",7,Driver Awake
20,Both eyes open,7,Driver Awake
20,Both eyes open,7,Driver Awake
20,Both eyes open,7,Driver Awake
20,Both eyes open,7,Driver Awake
20,Both eyes open,7,Driver Awake
20,Both eyes open,7,Driver Awake
20,Both eyes open,7,Driver Awake
20,"Left eye open, right eye closed",7,Driver Awake
20,Both eyes closed,8,Driver Awake
20,Both eyes closed,9,Driver Awake
20,Both eyes closed,10,Driver Awake
20,Both eyes closed,11,Driver Awake
20,Both eyes closed,12,Driver Awake
20,Both eyes open,12,Driver Awake
20,Both eyes open,12,Driver Awake
20,Both eyes open,11,Driver Awake
20,Both eyes open,10,Driver Awake
20,Both eyes open,9,Driver Awake
20,Both eyes open,8,Driver Awake
20,Both eyes open,7,Driver Awake
20,Both eyes open,6,Driver Awake
20,Both eyes open,5,Driver Awake
20,Both eyes open,5,Driver Awake
20,Both eyes open,5,Driver Awake
20,Both eyes open,5,Driver Awake
20,Both eyes open,5,Driver Awake
20,Both eyes open,5,Driver Awake
20,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,"Left eye open, right eye closed",5,Driver Awake
21,"Left eye open, right eye closed",5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
21,Both eyes open,5,Driver Awake
22,Both eyes open,5,Driver Awake
22,Both eyes open,5,Driver Awake
22,Both eyes open,5,Driver Awake
22,Both eyes closed,6,Driver Awake
22,Both eyes closed,7,Driver Awake
22,Both eyes closed,8,Driver Awake
22,Both eyes closed,9,Driver Awake
22,Both eyes closed,10,Driver Awake
22,"Left eye open, right eye closed",10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,Both eyes open,10,Driver Awake
22,"Left eye closed, right eye open",10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,"Left eye open, right eye closed",10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes open,10,Driver Awake
23,Both eyes closed,11,Driver Awake
23,Both eyes closed,11,Driver Awake
23,Both eyes closed,11,Driver Awake
23,Both eyes closed,11,Driver Awake
23,Both eyes closed,11,Driver Awake
23,Both eyes closed,11,Driver Awake
23,Both eyes closed,12,Driver Awake
23,Both eyes closed,13,Driver Awake
23,Both eyes closed,14,Driver Awake
23,Both eyes closed,15,Driver Awake
23,Both eyes closed,16,Driver Awake
24,Both eyes closed,17,Driver Awake
24,Both eyes closed,18,Driver Awake
24,Both eyes closed,19,Driver Awake
24,Both eyes closed,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
24,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes closed,21,Driver Awake
25,Both eyes closed,22,Driver Awake
25,Both eyes closed,22,Driver Awake
25,Both eyes closed,22,Driver Awake
25,Both eyes closed,22,Driver Awake
25,Both eyes open,21,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
25,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes open,20,Driver Awake
26,Both eyes closed,21,Driver Awake
26,Both eyes closed,22,Driver Awake
26,Both eyes closed,23,Driver Awake
26,Both eyes closed,24,Driver Awake
26,Both eyes closed,25,Driver Awake
26,Both eyes open,24,Driver Awake
27,Both eyes open,23,Driver Awake
27,Both eyes open,22,Driver Awake
27,Both eyes open,21,Driver Awake
27,Both eyes open,20,Driver Awake
27,Both eyes open,19,Driver Awake
27,Both eyes open,18,Driver Awake
27,Both eyes open,17,Driver Awake
27,Both eyes open,16,Driver Awake
27,Both eyes open,15,Driver Awake
27,Both eyes open,14,Driver Awake
27,Both eyes open,13,Driver Awake
27,Both eyes open,12,Driver Awake
27,Both eyes open,11,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
27,Both eyes open,10,Driver Awake
28,Both eyes open,10,Driver Awake
28,Both eyes open,10,Driver Awake
28,Both eyes open,10,Driver Awake
28,Both eyes open,10,Driver Awake
28,Both eyes closed,11,Driver Awake
28,Both eyes closed,12,Driver Awake
28,Both eyes closed,13,Driver Awake
28,"Left eye closed, right eye open",13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,13,Driver Awake
28,Both eyes open,12,Driver Awake
28,Both eyes open,11,Driver Awake
28,Both eyes open,10,Driver Awake
28,Both eyes open,9,Driver Awake
28,Both eyes open,8,Driver Awake
28,Both eyes open,8,Driver Awake
28,Both eyes open,8,Driver Awake
28,Both eyes open,8,Driver Awake
28,Both eyes open,8,Driver Awake
29,Both eyes open,8,Driver Awake
29,Both eyes open,8,Driver Awake
29,Both eyes open,8,Driver Awake
29,Both eyes open,8,Driver Awake
29,Both eyes open,8,Driver Awake
29,Both eyes open,8,Driver Awake
29,Both eyes open,8,Driver Awake
29,Both eyes open,8,Driver Awake
29,Both eyes open,8,Driver Awake
29,Both eyes open,8,Driver Awake
29,Both eyes open,8,Driver Awake
29,Both eyes open,8,Driver Awake
